,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
251,009520,KR7009520008,포스코엠텍,KOSDAQ,우량기업부,25350,2,-250,-0.98,25450,25550,24650,230967,5798768950,1055642521050,41642703,KSQ
252,395400,KR7395400005,SK리츠,KOSPI,,3905,3,0,0.0,3915,3925,3895,222042,866900405,1054868111495,270132679,STK
253,036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,6360,2,-130,-2.0,6490,6520,6330,952275,6098276730,1045967527080,164460303,KSQ
254,085620,KR7085620003,미래에셋생명,KOSPI,,5870,2,-250,-4.08,6120,6170,5810,212589,1254078510,1039085029430,177016189,STK
255,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,30050,2,-950,-3.06,31100,31250,29800,2221722,67041132000,1035007131650,34442833,KSQ
256,085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,18240,2,-20,-0.11,18490,18560,18060,182008,3324774980,1027175440320,56314443,KSQ
257,039130,KR7039130000,하나투어,KOSPI,,63500,3,0,0.0,63600,63600,62500,77865,4908982800,1018488247500,16039185,STK
258,181710,KR7181710005,NHN,KOSPI,,29100,1,400,1.39,28750,29150,28350,98042,2821552650,1016657446200,34936682,STK
259,023590,KR7023590003,다우기술,KOSPI,,22600,2,-700,-3.0,23350,23400,22500,116837,2651911250,1013985544200,44866617,STK
260,192080,KR7192080000,더블유게임즈,KOSPI,,46650,2,-400,-0.85,47250,47500,45800,59102,2744345450,1002784014900,21495906,STK
261,000400,KR7000400002,롯데손해보험,KOSPI,,3230,2,-70,-2.12,3225,3300,3170,1180867,3820520395,1002386313600,310336320,STK
262,298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,20850,1,300,1.46,20600,21300,20400,246527,5161546700,998559438150,47892539,KSQ
263,006650,KR7006650006,대한유화,KOSPI,,153400,1,2400,1.59,149100,153600,148200,16884,2540051100,997100000000,6500000,STK
264,089860,KR7089860001,롯데렌탈,KOSPI,,27000,2,-50,-0.18,27050,27150,27000,10987,297304350,989119701000,36634063,STK
265,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,20100,2,-150,-0.74,20150,20450,19830,286235,5748417580,979935360300,48753003,KSQ
266,222800,KR7222800005,심텍,KOSDAQ,우량기업부,30500,2,-1500,-4.69,31550,31800,30450,653829,20261965550,971551361500,31854143,KSQ
267,399720,KR7399720002,가온칩스,KOSDAQ,벤처기업부,84200,2,-800,-0.94,85400,87200,84100,371328,31720506700,967316544000,11488320,KSQ
268,000670,KR7000670000,영풍,KOSPI,,523000,2,-7000,-1.32,532000,532000,520000,718,377274000,963386920000,1842040,STK
269,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,26700,2,-250,-0.93,27200,27200,26500,86746,2321512950,958763892000,35908760,KSQ
270,003530,KR7003530003,한화투자증권,KOSPI,,4445,2,-110,-2.41,4690,4700,4410,5124894,23243594765,953664859875,214547775,STK
271,003240,KR7003240009,태광산업,KOSPI,,855000,2,-25000,-2.84,889000,889000,852000,1613,1392567000,951957000000,1113400,STK
272,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,91800,2,-200,-0.22,92000,93100,91500,54107,4989192600,947414831400,10320423,KSQ
273,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,47900,1,500,1.05,47450,48550,47250,57100,2736134600,946153084600,19752674,KSQ
274,001800,KR7001800002,오리온홀딩스,KOSPI,,15090,2,-190,-1.24,15250,15340,14990,19647,297593100,945319417980,62645422,STK
275,020560,KR7020560009,아시아나항공,KOSPI,,12590,2,-180,-1.41,12660,12760,12550,207242,2617823260,936844108760,74411764,STK
276,089590,KR7089590004,제주항공,KOSPI,,11570,1,30,0.26,11540,11630,11480,67133,776083200,933016196450,80640985,STK
277,225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,14120,2,-30,-0.21,14260,14260,14090,110474,1560476480,929106872400,65800770,KSQ
278,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,37300,1,50,0.13,37650,37700,36850,33229,1236363400,926202976700,24831179,KSQ
279,383310,KR7383310000,에코프로에이치엔,KOSDAQ,중견기업부,60500,2,-800,-1.31,60900,61100,59700,65079,3928294600,925948386000,15304932,KSQ
280,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,40500,1,350,0.87,39950,40800,39250,131453,5252982150,921018519000,22741198,KSQ
281,271940,KR7271940009,일진하이솔루스,KOSPI,,25200,1,150,0.6,25050,25350,24800,11260,282254150,915092388000,36313190,STK
282,278280,KR7278280003,천보,KOSDAQ GLOBAL,우량기업부,91000,1,1500,1.68,89400,91900,88000,28900,2608001300,910000000000,10000000,KSQ
283,006120,KR7006120000,SK디스커버리,KOSPI,,47300,2,-100,-0.21,47350,47600,46300,43430,2040131950,900490541500,19037855,STK
284,001430,KR7001430008,세아베스틸지주,KOSPI,,25000,1,100,0.4,25000,25100,24600,66330,1650144650,896552975000,35862119,STK
285,100090,KR7100090000,SK오션플랜트,KOSPI,,15100,2,-460,-2.96,15670,15680,14920,480241,7248722880,893853076800,59195568,STK
286,009900,KR7009900002,명신산업,KOSPI,,16980,2,-90,-0.53,17120,17120,16910,114940,1952241520,890942858340,52470133,STK
287,082640,KR7082640004,동양생명,KOSPI,,5490,2,-140,-2.49,5660,5700,5470,216849,1207045210,885858631650,161358585,STK
288,003030,KR7003030004,세아제강지주,KOSPI,,213500,1,500,0.23,213000,215000,206000,4152,869243500,884243769500,4141657,STK
289,300720,KR7300720000,한일시멘트,KOSPI,,12650,2,-140,-1.09,12910,12910,12630,19647,250081690,876158481000,69261540,STK
290,048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,21950,2,-100,-0.45,21900,22150,21400,185875,4049848000,873992105600,39817408,KSQ
291,214320,KR7214320004,이노션,KOSPI,,21800,2,-350,-1.58,22350,22350,21800,21466,472382050,872000000000,40000000,STK
292,002350,KR7002350007,넥센타이어,KOSPI,,8920,1,110,1.25,8810,8970,8750,85263,758541320,871197462840,97667877,STK
293,003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,7750,2,-160,-2.02,7940,7940,7690,223619,1738847230,868043562750,112005621,KSQ
294,336370,KR7336370002,솔루스첨단소재,KOSPI,,12330,1,320,2.66,11970,12460,11800,221500,2699692140,865779851520,70217344,STK
295,007340,KR7007340003,DN오토모티브,KOSPI,,86400,2,-2000,-2.26,89100,89200,86300,13616,1188256300,863482032000,9994005,STK
296,420770,KR7420770000,기가비스,KOSDAQ,중견기업부,68100,2,-700,-1.02,68800,70100,68000,44903,3080544800,863219119800,12675758,KSQ
297,010780,KR7010780005,아이에스동서,KOSPI,,27850,2,-450,-1.59,28200,28250,27850,15862,444240400,860359077100,30892606,STK
298,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,39900,2,-100,-0.25,39900,40500,39550,85559,3418715300,855912735300,21451447,KSQ
299,105630,KR7105630008,한세실업,KOSPI,,21300,1,100,0.47,21200,21400,20800,29902,630826600,852000000000,40000000,STK
300,003850,KR7003850005,보령,KOSPI,,12380,2,-260,-2.06,12570,12570,12280,229306,2845349750,850382200000,68690000,STK
301,093370,KR7093370005,후성,KOSPI,,8980,2,-10,-0.11,9000,9080,8860,198695,1782134700,847281893920,94352104,STK
302,195870,KR7195870001,해성디에스,KOSPI,,49800,2,-300,-0.6,50100,50400,49800,24149,1207635300,846600000000,17000000,STK
303,084370,KR7084370006,유진테크,KOSDAQ GLOBAL,우량기업부,36550,1,2350,6.87,34500,38150,34500,743870,27299797000,837581335100,22916042,KSQ
304,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,22050,1,1850,9.16,20150,22950,19920,710979,15429242180,837546273900,37983958,KSQ
305,001060,KR7001060003,JW중외제약,KOSPI,,35900,1,1950,5.74,34250,36550,34100,290356,10322886000,835964887000,23285930,STK
306,086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,18760,1,40,0.21,18770,18880,18600,71363,1335539450,834069600000,44460000,KSQ
307,365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,3880,1,15,0.39,3865,3885,3860,44984,174109015,826785320000,213089000,STK
308,069260,KR7069260008,TKG휴켐스,KOSPI,,20150,2,-50,-0.25,20250,20350,20100,33797,683286600,823703548200,40878588,STK
309,178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,21900,3,0,0.0,21750,22100,21350,261498,5664522400,823016059800,37580642,KSQ
310,456040,KR7456040005,OCI,KOSPI,,91000,2,-1100,-1.19,91700,92100,90600,14602,1327245200,818138685000,8990535,STK
311,114090,KR7114090004,GKL,KOSPI,,13210,2,-450,-3.29,13800,13800,13180,379623,5091103110,817113400700,61855670,STK
312,003540,KR7003540002,대신증권,KOSPI,,16000,2,-40,-0.25,16020,16130,15950,58890,942796000,812374400000,50773400,STK
313,101360,KR7101360006,에코앤드림,KOSDAQ,우량기업부,70900,1,2300,3.35,68600,74900,68600,857231,61404169500,812179564700,11455283,KSQ
314,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,43400,3,0,0.0,43350,43650,42850,50736,2194937450,811177204600,18690719,KSQ
315,336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,9100,1,160,1.79,8940,9210,8800,534882,4836284880,802382626500,88173915,KSQ
316,348950,KR7348950007,제이알글로벌리츠,KOSPI,,4040,3,0,0.0,4050,4055,4030,132202,534508215,797399040000,197376000,STK
317,002840,KR7002840007,미원상사,KOSPI,,167400,1,800,0.48,166600,168400,166600,1014,169665100,795150000000,4750000,STK
318,001530,KR7001530005,DI동일,KOSPI,,31850,1,400,1.27,31450,32100,31350,100976,3209103650,787925779550,24738643,STK
319,005250,KR7005250006,녹십자홀딩스,KOSPI,,16670,1,260,1.58,16410,16730,16280,75063,1244658280,783960260700,47028210,STK
320,066575,KR7066571001,LG전자우,KOSPI,,45450,2,-600,-1.3,46100,46150,45300,11229,511809100,781103336400,17185992,STK
321,222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,11090,2,-40,-0.36,11150,11190,10840,313289,3457364150,779156917080,70257612,KSQ
322,016380,KR7016380008,KG스틸,KOSPI,,7740,2,-120,-1.53,7860,7870,7730,267983,2080835640,774068862780,100008897,STK
323,009450,KR7009450008,경동나비엔,KOSPI,,53000,1,1600,3.11,51600,53500,51500,104788,5546804700,772135376000,14568592,STK
324,215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,66000,1,2300,3.61,64000,66500,62700,43184,2806014600,771835284000,11694474,KSQ
325,330590,KR7330590001,롯데리츠,KOSPI,,3160,1,10,0.32,3145,3170,3145,78496,248010770,767781673440,242968884,STK
326,131970,KR7131970006,두산테스나,KOSDAQ,우량기업부,44450,2,-700,-1.55,45200,45300,44250,108538,4846603950,755941858700,17006566,KSQ
327,005440,KR7005440003,현대지에프홀딩스,KOSPI,,4835,2,-70,-1.43,4875,4900,4810,348807,1689576810,753797295335,155904301,STK
328,376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,31750,2,-750,-2.31,32200,32200,31550,17218,547271600,753694390500,23738406,KSQ
329,192650,KR7192650000,드림텍,KOSPI,,10910,2,-310,-2.76,11220,11300,10900,576115,6333359030,750588263810,68798191,STK
330,089030,KR7089030001,테크윙,KOSDAQ,우량기업부,20000,2,-1550,-7.19,20750,21050,19910,1442786,29287485190,747072900000,37353645,KSQ
331,015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,9290,2,-280,-2.93,9550,9650,9280,861583,8140478620,743200000000,80000000,KSQ
332,418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,23500,1,1400,6.33,22200,23550,22000,229872,5280783550,741795665500,31565773,KSQ
333,950160,KR8840120008,코오롱티슈진,KOSDAQ,관리종목(소속부없음),10160,2,-130,-1.26,10240,10300,10090,37713,384661480,739654400800,72800630,KSQ
334,053800,KR7053800009,안랩,KOSDAQ,우량기업부,73500,2,-600,-0.81,74200,74400,73300,24474,1804715700,736018342500,10013855,KSQ
335,025320,KR7025320003,시노펙스,KOSDAQ,우량기업부,8740,1,530,6.46,8300,8930,8200,5321464,46377288720,732568760640,83817936,KSQ
336,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,12570,1,650,5.45,11920,12590,11810,296106,3655619920,727155217620,57848466,KSQ
337,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,33700,1,1100,3.37,33150,34650,32900,390159,13207991450,726652711500,21562395,KSQ
338,000815,KR7000811000,삼성화재우,KOSPI,,227500,2,-4500,-1.94,232000,232000,225000,10955,2491126500,726180000000,3192000,STK
339,074600,KR7074600008,원익QnC,KOSDAQ GLOBAL,우량기업부,27300,2,-250,-0.91,27550,27700,27200,83316,2282372700,717662400000,26288000,KSQ
